probe,logFC,AveExpr,t,P.Value,adj.P.Val,B,gds,type
214646_at,-0.182899530475766,2.79137782772051,-4.21251140076357,0.000259495716400663,0.102729743893769,0.477348873228467,GDS4358,lo
228107_at,-0.219620127076593,2.76794922231424,-4.21034295909462,0.000260988451867598,0.102729743893769,0.472376104526051,GDS4358,lo
207398_at,-0.184867471880249,2.48670564473551,-4.21014825778723,0.000261122897601819,0.102729743893769,0.471929619047917,GDS4358,lo
1557679_at,-0.139082039413095,2.89101194433397,-4.2062922068998,0.000263799757847314,0.102729743893769,0.463087416645698,GDS4358,lo
1552616_a_at,-0.170994173620582,2.66973858413976,-4.20382257725327,0.000265528417927967,0.102729743893769,0.457424803771618,GDS4358,lo
205542_at,-0.185521084001772,2.58688015621041,-4.19890703160676,0.000269002573016692,0.102729743893769,0.446154951359551,GDS4358,lo
239189_at,-0.1754041176178,2.52205657594146,-4.19694022834505,0.00027040521540544,0.102729743893769,0.441646045554186,GDS4358,lo
232815_at,-0.178833534094389,2.31457601243036,-4.19562532862198,0.00027134698157069,0.102729743893769,0.438631752640835,GDS4358,lo
1566990_x_at,-0.113821380182055,3.08677218963019,-4.19547072222849,0.000271457927818864,0.102729743893769,0.438277337358936,GDS4358,lo
231219_at,-0.166924331822891,2.71394270735969,-4.19260799943953,0.000273520360214917,0.102729743893769,0.431715157270741,GDS4358,lo
216654_at,-0.121416372897903,2.66912665400244,-4.19216528961289,0.00027384068933274,0.102729743893769,0.430700381076983,GDS4358,lo
238143_at,-0.279007574723426,2.74404276004855,-4.19126480994019,0.000274493390307488,0.102729743893769,0.428636342625315,GDS4358,lo
1553515_at,-0.143311044928085,2.42700325927309,-4.18808437501712,0.000276811030742402,0.102729743893769,0.421346665430187,GDS4358,lo
224137_at,-0.196460909990737,2.67898244442894,-4.17647950124969,0.000285433101974296,0.102729743893769,0.394752829394694,GDS4358,lo
200930_s_at,-0.177163541407655,2.4168634672785,-4.17346952607657,0.000287712475899821,0.102729743893769,0.387856438837869,GDS4358,lo
203876_s_at,-0.149571162968045,2.57534898078468,-4.16994781334235,0.000290402238875083,0.102729743893769,0.379788255367672,GDS4358,lo
201428_at,-0.181133837279724,2.86305750488347,-4.16662127362095,0.000292965770435318,0.102729743893769,0.372167898602013,GDS4358,lo
240175_at,-0.130794430356301,3.04417117327918,-4.16627940150404,0.000293230492214302,0.102729743893769,0.3713847843809,GDS4358,lo
218779_x_at,-0.149988451875753,2.80086295699953,-4.16349053196611,0.000295398851630122,0.102729743893769,0.36499668795464,GDS4358,lo
40273_at,-0.136660754009863,3.18090123311848,-4.1603525119543,0.000297857639877663,0.102729743893769,0.357809410841129,GDS4358,lo
1568678_s_at,-0.196161624484202,2.7683225135734,-4.15857868554723,0.000299256459277814,0.102729743893769,0.353746933625963,GDS4358,lo
202476_s_at,-0.208747572701142,2.87132075031601,-4.15829746512232,0.000299478822269107,0.102729743893769,0.353102891088751,GDS4358,lo
224480_s_at,-0.205842723586891,2.3998973074422,-4.15342969916095,0.000303353790052075,0.102729743893769,0.34195566518013,GDS4358,lo
204033_at,-0.238481064864844,2.60034633913986,-4.15324347455863,0.000303503013908424,0.102729743893769,0.341529238851424,GDS4358,lo
219021_at,-0.138590080827521,2.88832325720348,-4.15275914561634,0.000303891452018505,0.102729743893769,0.34042020869038,GDS4358,lo
238496_at,-0.145739629607262,2.78776481158385,-4.14301853806686,0.000311808719209436,0.102729743893769,0.318119066249233,GDS4358,lo
